product_name,asin,product_url,brand_name,image_url,mrp,sale_price,discount_percentage,product_description,date_first_available,number_of_reviews,seller_name
Salus Disposable Surgical Bouffant Caps 100 Pcs,B0052GIM84,https://www.amazon.in/Salus-Disposable-Surgical-Bouffant-Caps/dp/B0052GIM84/,Salus,https://images-na.ssl-images-amazon.com/images/I/714Pnm9gCPL._SL1000_.jpg,249.00,135.00,46%,100 Pcs Of Disposable Bouffant Cap Qare Made With Virgin Medical Grade Technical Textiles That Are Hypoallergenic And Soft On The Skin. The High Performance Caps Provide Maximum Protection To The Environment From Hair Bacteria And Microorganisms  While Remaining Cool And Breathable To The User.,2014-06-04T00:00:00,136,Aurum Creations
PrimeStore Reusable Surgeons Cotton Gown Set with Face Mask and Cap Green,B076GXKW7Z,https://www.amazon.in/PrimeStore-Premium-quality-Reusable-Surgeons/dp/B076GXKW7Z/,PrimeStore,https://images-na.ssl-images-amazon.com/images/I/61-ypxh9dLL._SL1500_.jpg,1020.00,515.00,50%,Made from highly durable fabric. Finest surgeon gowns have sturdy double-stitched seams. Sleeves with stockinette cuffs.,2017-10-15T00:00:00,8,New Prime Store
NOYMI Particulate Disposable Respirator Mask Anti Pollution Dust Masks for Sanding Construction Grinding Drywall Household Dust3 Packs-White,B084WXGWYJ,https://www.amazon.in/NOYMI-Particulate-Disposable-Construction-Packs-White/dp/B084WXGWYJ/,NOYMI,https://images-na.ssl-images-amazon.com/images/I/61PDW%2BHdELL._SL1100_.jpg,,,,3 Packs individual clear package wrap. We recommend that the respirator masks be replaced when they are dirty  damaged  and/or difficult to breathe through. No  it is not washable. This is disposable product. This dust mask is composed of three layers. This unit is at least 95% efficient in filtering odors from solid and liquid particles that do not contain oil. This is one size fits most. Material: Non woven fabric Size: One size fits most Color: White 3 x Disposable Dust Masks,2020-02-17T00:00:00,63,
N95 TYPE Anti-Pollution MaskPack of 1,B07C5TF6YT,https://www.amazon.in/Anti-Pollution-Smart-Mask-Unisex-Medium/dp/B07C5TF6YT/,Shakuntla,https://images-na.ssl-images-amazon.com/images/I/71RAVsSraiL._SL1500_.jpg,899.00,155.00,83%,Shakuntla  we believe you shouldn't have to choose between your lifestyle and pollution protection. We believe that your every breath you breathe should be pure. We've developed an extensive anti-pollution system using cutting-edge science from around the world. The result? Outstanding Pollution Protection fit your Lifestyle. Shakutla Shield N95 Protect+ Anti-Pollution Smart Mask provides 98% 3-layer filtration of PM2.5 pollution particles. It has European certification CE0194 EN149 FFP1/FFP2. Innovated in Singapore  the Dettol SiTi Shield Smart Mask is engineered in 3 sizes (S size  M size  L size) to create the superb fit for a broad age range  even for young ones. This anti-pollution mask provides 99% filtration of bacteria  as tested by Nelson Laboratories. Smart valve fitted on the inside of the mask provides the seamless outflow of exhaled air providing better comfort. It is made of ultra-soft fabric that's gentle on skin and provides comfortable fit. It has adjustable straps with soft nose pad. Tested in the US  the mask is made basis Face-fit 3D scanning technique for the Asian face. From the makers of Dettol  the smart anti-pollution mask is fit for the entire family. It is designed and tested to fit Children (7+).,2018-04-12T00:00:00,22,Sivaana Colours
Riderscart Anti Pollution Mask Washable Dust Mask Air Filter Mask for Pollution Smoke Allergy Mask with Filter Protect from Virus PM2.5 Unisex SizeBlack with Warranty,B07G8BHQF6,https://www.amazon.in/Riderscart-Premium-Pollution-Washable-Allergy/dp/B07G8BHQF6/,Riderscart,https://images-na.ssl-images-amazon.com/images/I/51Gqsbd1u1L.jpg,699.00,269.00,62%,The anti-pollution mask is very innovative....which has high filtration efficiency can easily filter dust  gases  pollen and other organic vapors thus protects from various respiratory problems or breathing allergies.......It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies......It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2018-08-06T00:00:00,22,Riderscart
3M Anti Pollution Dust Mask Grey Pack of 4,B017D0LGYS,https://www.amazon.in/3M-Anti-Pollution-Dust-Mask/dp/B017D0LGYS/,3M,https://images-na.ssl-images-amazon.com/images/I/51doKXCni8L._SL1000_.jpg,,,,Lightweight  foldable and designed to protect you from pollutants and dust  the lightweight 3M respirator uses a variety of innovative features to help you meet your respiratory protection and comfort needs. By incorporating 3M's proprietary technology - the electrostatically charged microfiber filter media. These highly charged microfibres greatly enhance the capture of airborne particles.It's adjustable nose clip help provide a custom fit with secure seal and reduces potential for eyewear fogging. The 2 strap design provides a secure fit. The masks are foldable and easy to carry as well. Washing instructions - Disposable Respirators (not to be washed) Place the respirator over nose and mouth and ensure that the nose clip is fixed on top. Pull the top strap over your head until it rests on the crown of your head above your ears. Pull the bottom strap over your head until is rests just below your ears. Using both hands starting at the top  mold the metal nose clip around your nose to achieve a secure seal. Note: Pinching the nose piece using one hand may result in improper fit and less effective respirator performance. Use two hands.,2015-10-30T00:00:00,494,
iSweven Anti Pollution Mask for Non Woven Dustproof Filter Windproof Face Mask PM2.5 Blue-Star-Pack of 10,B084JGXGGK,https://www.amazon.in/iSweven-Pollution-Dustproof-Windproof-Blue-Star-Pack/dp/B084JGXGGK/,iSWEVEN,https://images-na.ssl-images-amazon.com/images/I/51cs3T43baL.jpg,899.00,699.00,22%,iSweven Pollution Mask 2.5.Brought to you by iSweven  the world’s leading brand for personal protective equipment with over 100 years of experience in respiratory protection. The PM 2.5 masks from iSweven are specially designed to protect the user from probable respiratory ailments and allergies originating from the polluted air in the cities and common allergens like pollen in the environment. These masks have a 3 layer filter media which ensures the best protection. The masks come with a valve for moisture release which reduces stuffiness and heat build up to ensure wearer comfort for longer hours. These ergonomically designed masks with special comfort features like skin-friendly lining  soft cotton ear bands  premium nose pad for better seal and comfort and soft adjustable nose clips make them one of the best masks to wear for extended hours even in hot and humid conditions.,2020-02-06T00:00:00,1,iSWEVEN
Recombigen 2 Ply Lace/Tie Disposable Face Mask - Pack of 100 Pieces,B07SQVQ54M,https://www.amazon.in/Disposable-Face-Mask-Lace-Pack/dp/B07SQVQ54M/,Recombigen,https://images-na.ssl-images-amazon.com/images/I/61JMZfAdmuL._SL1500_.jpg,,,,,2019-06-04T00:00:00,4,
Ionix Pack of 10 Disposable Earloop Medical Face Masks Three Layer 3 Ply Non-Woven Face Mask Dust Mask Pollution Mask Surgical Face Mask for Air Pollution Virus Protection Pack of 10,B085LC3VJL,https://www.amazon.in/Ionix-Disposable-Non-Woven-Pollution-Protection/dp/B085LC3VJL/,Ionix,https://images-na.ssl-images-amazon.com/images/I/61oRwAjpogL._SL1500_.jpg,750.00,425.00,43%,3 Ply face mask   Made of premium cotton and non-woven fabric provides the feature of soft texture  quick drying  you can sit on the face comfortably   seal correctly around mouth and face  breath freely to protect yourself against potentially life-threatening danger.,2020-03-05T00:00:00,0,Perfect Sales India
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 2,B085LP6XTC,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LP6XTC/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,,,,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,
Bigg Moustache Disposable Face Mask 3 Ply Tie Style Disposable Masks Medical Masks Dust Mask Pollution Mask 25 pcs,B085GL4WXZ,https://www.amazon.in/Bigg-Moustache-Disposable-Medical-Pollution/dp/B085GL4WXZ/,Bigg Moustache,https://images-na.ssl-images-amazon.com/images/I/61Xl0ng0pEL._SL1000_.jpg,,,,Disposable Mouth Masks  Professional 3-Layer Thicker Anti Dust Breathable Disposable Earloop Face Mask  Surgical Mask Our disposable masks are made of three layers of purifying dust and skin-friendly filter cloth  which gives multiple protection against dust and contaminants. Feature: Colour: blue Size:17.5x9.5cm/6.9*3.7 inches  FREE SIZE,2020-03-03T00:00:00,0,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 5,B085LQ76NC,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LQ76NC/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,449.00,249.00,45%,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,Antil's Hub
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 10,B085LPT6MW,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LPT6MW/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,999.00,449.00,55%,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,Antil's Hub
ultrasav Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus 5,B085DN63FH,https://www.amazon.in/ultrasav-Standard-Disposable-Pollution-Surgical/dp/B085DN63FH/,ultrasav,https://images-na.ssl-images-amazon.com/images/I/61XinzsWunL._SL1100_.jpg,,,,IND mask covers the user’s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical  laser  isolation  dental or medical procedure masks with or without a face shield.,2020-03-02T00:00:00,0,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 15,B085LNZMGB,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LNZMGB/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,,,,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,
Supreme Bazaar Disposable 3 Ply Surgical Face Mask with Earloop Great for Air Pollution Virus Protection and Personal Health Blue Face Mask Pack Of 3,B085M76NL6,https://www.amazon.in/Supreme-Bazaar-Disposable-Pollution-Protection/dp/B085M76NL6/,Supreme Bazaar,https://images-na.ssl-images-amazon.com/images/I/71vUY0a4M4L._SL1500_.jpg,,,,Supreme Bazaar Presents Face masks help limit the spread of germs. When someone talks  coughs  or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors  surgeons  dentist  dental assistance  nurses  landscapers  contractors  plumbers  exterminators  nail technicians and many more.,2020-03-07T00:00:00,0,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 50,B085LQ1NBB,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LQ1NBB/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,1999.00,1149.00,43%,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,Antil's Hub
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 100,B085LPV6XK,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LPV6XK/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,3999.00,2299.00,43%,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,Antil's Hub
Warrior Armory Nose Mask Disposable Mouth Masks - Dust Mask - Pollution Mask - Surgical Face Mask for Air Pollution Virus Protection & Personal Health Face Mask 100 pieces,B085HXY874,https://www.amazon.in/Warrior-Armory-Disposable-Mouth-Masks/dp/B085HXY874/,Warrior Armory,https://images-na.ssl-images-amazon.com/images/I/61%2BiAoqsGTL._SL1258_.jpg,10999.00,2400.00,78%,Facemasks help limit the spread of germs. When someone talks  coughs  or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors  surgeons  dentist  dental assistance  nurses  landscapers  contractors  plumbers  exterminators  nail technicians and many more.,2020-03-04T00:00:00,0,Warrior Armory
Bigg Moustache Disposable Face Mask 3 Ply Tie Style Disposable Masks Medical Masks Dust Mask Pollution Mask 10 pcs,B085HR629G,https://www.amazon.in/Bigg-Moustache-Disposable-Medical-Pollution/dp/B085HR629G/,Bigg Moustache,https://images-na.ssl-images-amazon.com/images/I/51Y4XFSzlZL._SL1000_.jpg,,,,Disposable Mouth Masks  Professional 3-Layer Thicker Anti Dust Breathable Disposable Earloop Face Mask  Surgical Mask Our disposable masks are made of three layers of purifying dust and skin-friendly filter cloth  which gives multiple protection against dust and contaminants. Feature: Colour: blue Size:17.5x9.5cm/6.9*3.7 inches  FREE SIZE,2020-03-05T00:00:00,0,
DR AIR PM 2.5 ANTI POLLUTION MASK - PACK OF 6 - FOR ADULT,B074Y46GZ2,https://www.amazon.in/DR-AIR-ANTI-POLLUTION-MASK/dp/B074Y46GZ2/,DR AIR,https://images-na.ssl-images-amazon.com/images/I/81BfwhGzq8L._SL1500_.jpg,,,,DR AIR N95 Anti-Pollution Face Mask For ADULT. It blocks PM2.5 dust  Haze  bacteria  Influenza virus  etc filtration upto 95 % . Variety of Innovative technologies and features are used to help you meet your respiratory protection and comfort needs. The soft inner material provides added comfort while the adjustable nose clip provides a custom fit.,2017-08-18T00:00:00,3,
TrendzOn 3Ply Disposable Face Masks Elastic Ear loop Type Mask and RespiratorPollutionAnti virus pack of 30,B085K28125,https://www.amazon.in/TrendzOn-Disposable-Elastic-Respirator-Pollution/dp/B085K28125/,TrendzOn,https://images-na.ssl-images-amazon.com/images/I/61ESmJr3hTL._SL1116_.jpg,,,,♥Face masks help limit the spread of germs. When someone talks  coughs  or sneezes they may release tiny drops into the air that can infect others. ♥If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. ♥It is ideal for every house in day to day activities as well as doctors  surgeons  dentist  dental assistance  nurses  landscapers  contractors  plumbers  exterminators  nail technicians and many more. ♥Easy breathable  effective multiplayer bacterial filter  soft  lightweight  comfortable and easy to wear  used in medical  dental  laboratory  food sectors  school  household  industry and multi-purpose  bacteria filtration efficiency 99%  particle filtration efficiency (0.1 micron) 99%  virus filtration efficiency (0.1 micron) 99%  fluid repellent 120 mmhg  breathable < 49 0 pa fluid resistant hygienic & skin friendly,2020-03-04T00:00:00,0,
Rudham Disposable Gloves 300 Pieces Transparent,B00LSSNIEI,https://www.amazon.in/Rudham-Disposable-Gloves-Pieces-Transparent/dp/B00LSSNIEI/,Rudham,https://images-na.ssl-images-amazon.com/images/I/517aCPWj71L._SL1110_.jpg,199.00,160.00,20%,300 pieces disposable plastic gloves. For home or restaurant or cleaning or washing. Great for cleaning  cooking and performing daily activities hygienic.,2014-07-14T00:00:00,1484,Cloudtail India
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 45,B085LPPMSX,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LPPMSX/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,1700.00,1100.00,35%,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,Antil's Hub
3M 3M-6200 Half Facepiece Reusable Respirator Without CartridgesMedium,B013WCNHSO,https://www.amazon.in/3M-3M-6200-Facepiece-Respirator-Cartridges/dp/B013WCNHSO/,3M,https://images-na.ssl-images-amazon.com/images/I/71w3pbu-tAL._SL1010_.jpg,2100.00,1529.00,27%,3M 6200 half face respirator  medium. 3M half face piece reusable respirators offer the user comfort and convenience. Reusable  just dispose of the cartridge and filters when used to capacity. The swept back design of the cartridges improves balance and visibility. Can be disassembled  cleaned and reused. Very light-weight. Easy to adjust head straps. NIOSH approved for use against particulates and a variety of gases and vapors at concentrations up to 10 times the exposure limit  when used with approved and properly selected cartridges and/or filters.,2015-08-14T00:00:00,280,clickforsign®
Disposable 2 Ply Face Mask with Elastic Blue - Pack Of 100 - Sold By Smark,B07MKD5PYX,https://www.amazon.in/Disposable-Face-Mask-Elastic-Blue/dp/B07MKD5PYX/,Generic,https://images-na.ssl-images-amazon.com/images/I/516r59TKI8L._SL1053_.jpg,,,,These are 2 Ply Face Mask with Elastic. These are Blue in colour.,2018-12-24T00:00:00,5,
Antil's Disposable 3ply Surgical Elastic Face Mask Pack of 35,B085LNZCGQ,https://www.amazon.in/Antils-Disposable-3ply-Surgical-Elastic/dp/B085LNZCGQ/,Antil's,https://images-na.ssl-images-amazon.com/images/I/41IFHL99ocL.jpg,1500.00,949.00,37%,This Face mask is very innovative which has high filtration efficiency can easily filter dust  gases  pollution and other organic vapors thus protects from various respiratory problems or breathing allergies. It comes with soft nose clip and elastic straps so suitable for many face sizes. The exhalation valves are provided to flow out the exhaled air for easy breathing. It is washable  and reusable. Filter can be easily replaced when needed. Recommended for people having respiratory problems and breathing allergies. It is compact  suitably designed so easy to carry and store. Effectively protects from the vehicular pollution and dust on the roads.,2020-03-07T00:00:00,0,Antil's Hub
Silver Stone Anti-Pollution Dust Nose Mask 3 Ply Disposable Mouth Masks Nose Mask Dust Mask Pollution Mask Pack of 10,B085L8MPJN,https://www.amazon.in/Silver-Stone-Anti-Pollution-Disposable-Pollution/dp/B085L8MPJN/,Silver Stone,https://images-na.ssl-images-amazon.com/images/I/61RtCz9uT2L._SL1200_.jpg,699.00,265.00,62%,☛ ☛ ☛ Our environment is full of dust  haze  vehicle exhaust  air pollution  and the dust mask can keep you from 98% dust  Dirt  Pollen  Allergens  Fumes or particulates that effect you breathe in the air. 🎭 🎊 ☛ Breathing easily ☛ Skin cared and comfortable in wearing ☛ Adjustable fitness between mask and nose with nose clip and earloop ☛ Health and environmental protection materials ☛ Moisture-proof ☛ Dust mask with valve ☛ Anti-dust  n95 PM2.5  bacteria  fog  and other harmful grain 🌈 🌄 Chemosurgical  spray-paints or paintings  dyeing  garages  mining  factories of electronic aid and foods  disinfecting  insalubrious workshops,2020-03-05T00:00:00,0,GLOBALEXPORTER
V44+ Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 5 10,B085GN66RB,https://www.amazon.in/Standard-comfort-Disposable-Pollution-Surgical/dp/B085GN66RB/,ultrasav,https://images-na.ssl-images-amazon.com/images/I/71RAVsSraiL._SL1500_.jpg,60000.00,2000.00,97%,IND mask covers the user’s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical  laser  isolation  dental or medical procedure masks with or without a face shield.,2020-03-02T00:00:00,0,ultrasav
Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus 1,B085MD7GYH,https://www.amazon.in/Standard-comfort-Disposable-Pollution-Surgical/dp/B085MD7GYH/,ANY DESIGNER,https://images-na.ssl-images-amazon.com/images/I/71I-OrK4k%2BL._SL1500_.jpg,19999.00,499.00,98%,,2020-03-06T00:00:00,0,Any Designer®
